Nom,ID,X,Y,Z
STARLINK-1008,44714,-2933.3689454218697,-4758.273955921179,-3861.868929755921
STARLINK-1012,44718,-50.97995156885717,-4395.4291580468325,-5181.407845000879
STARLINK-1017,44723,49.34809681588285,-4447.127462374631,-5213.428579003358
STARLINK-1020,44725,-4694.036264181543,-1.329070655511222,4871.834133814697
STARLINK-1036,44741,4521.811968844739,-2118.9687748880547,-4525.333160325243
STARLINK-1039,44744,3288.1516404508848,-2922.375336163894,-5267.024304005223
STARLINK-1042,44747,-1732.626049165316,-4689.783845918285,-4588.551624265735
STARLINK-1043,44748,5131.6840533897575,4129.195020060675,1494.451847717786
STARLINK-1046,44751,-2985.8751145705164,2755.592918006004,5405.27914489976
STARLINK-1047,44752,6541.612852775306,-1221.655462744169,-1600.3390419159023
STARLINK-1048,44753,-5371.184127334938,-2459.5948613900246,-3253.5637064577245
STARLINK-1063,44768,-4091.1348610570953,-4647.890314304296,2778.8964879511927
STARLINK-1067,44771,-5153.3880903163845,-4116.7114998236975,-1231.6997953269747
STARLINK-1068,44772,5174.164039908691,2827.4788618600364,3207.1870558001906
STARLINK-1114,44927,-5320.891002525769,3461.197277382594,-2293.3517779543567
STARLINK-1123,44930,-2864.545657942199,-4048.8792287058914,4584.911387153588
STARLINK-1094,44941,-6649.09845279369,911.4888073311691,911.1970122588301
STARLINK-1122,44949,-5302.61590452563,3275.4264554503934,-2658.076738885445
STARLINK-1080,44961,-3181.7196093379275,-2501.696387691002,5376.711854990264
STARLINK-1090,44968,4565.805741424941,-4279.044903562222,2625.2792921426853
STARLINK-1132,45044,3957.7829286417686,998.9276340776786,-5410.65566337907
STARLINK-1131,45047,-2232.8611211354055,5858.796721721544,-2590.452016792964
STARLINK-1134,45048,-1827.2915027208824,-6481.003985207378,522.5765514013882
STARLINK-1156,45054,4974.609450471928,-4690.8238191657065,4.300378977197044
STARLINK-1166,45060,1901.1272655079006,-6454.590675057772,644.5087052175044
STARLINK-1169,45061,5621.3104486200045,-2547.146792544842,-2930.0010202639533
STARLINK-1171,45062,3288.9938350760394,5382.776549371879,-2314.660189310401
STARLINK-1133,45064,-1057.2835955023315,6409.99010191628,-2130.413774120237
STARLINK-1167,45071,-1689.303146562846,-4805.660681138683,4536.912411605688
STARLINK-1168,45072,-2156.123421794453,-4214.483137849994,4914.068650561467
STARLINK-1172,45074,-4541.194524358192,2201.8317692360442,4581.695651928913
STARLINK-1153,45080,4523.46773586855,-3215.0667319956838,-3988.102694289979
STARLINK-1151,45081,2503.4488438491458,6107.943957812639,976.0762467906656
STARLINK-1185,45087,-151.03647859352185,6798.380424561292,7.176048549819405
STARLINK-1183,45088,2290.748558817254,-6178.214204969647,-1832.1709113537977
STARLINK-1152,45096,-5268.705308496947,-2147.7364092344333,3695.0732920293335
STARLINK-1184,45098,4670.518476233118,-3504.600390645561,-3684.7830842621293
STARLINK-1193,45100,4808.617170447884,3064.005214523595,-3596.9600613139983
STARLINK-1143,45179,-1946.660368595306,4848.702856443056,-4143.185397746766
STARLINK-1202,45183,4157.762767270785,3496.31023724778,4141.971839585361
STARLINK-1216,45185,-3902.4614191299943,1323.9841269386295,-5456.260963969561
STARLINK-1225,45187,-4170.910065201539,177.2512420889755,-5414.9068427145785
STARLINK-1230,45189,-162.62632944113048,6422.203526162887,-2341.5822054277737
STARLINK-1234,45190,2286.4294169055797,3336.9157613450016,-5367.142732183727
STARLINK-1269,45197,-2336.4257608361213,4559.271844378403,-4529.901340354063
STARLINK-1154,45198,-5672.046117589974,283.6329201263461,-3657.2231652466976
STARLINK-1199,45201,-801.1344217548666,-6018.312279428215,3127.790965829494
STARLINK-1209,45206,-2949.3433741848758,4152.701056586284,-4421.008720916652
STARLINK-1231,45212,-3206.9843129568944,-5981.0620923850565,973.8300891262772
STARLINK-1271,45217,1493.7470879638252,-4614.498397147159,4804.40595403266
STARLINK-1191,45222,437.93644809459965,-4360.155950945826,5220.188369733195
STARLINK-1212,45223,-3142.042251392247,3537.190288837956,-4808.140951759424
STARLINK-1215,45225,688.8805170382153,-4299.822719793031,5256.686051493491
STARLINK-1221,45227,-1291.7274605737427,-4996.012683030289,4433.989376679207
STARLINK-1222,45228,135.0506389685922,4081.428146515628,-5415.942392556329
STARLINK-1226,45229,5784.489207306413,104.30794508278385,3581.825477818267
STARLINK-1227,45230,1927.7385009062937,-3603.0560871316266,5434.691311969297
STARLINK-1246,45235,225.85798356834027,6544.990236104527,-1963.3168248710163
STARLINK-1270,45237,-5762.187579352303,1889.9954613512866,-2964.8358059552884
STARLINK-1279,45360,-2292.5174739147137,6256.575656551161,-803.6122192308471
STARLINK-1301,45361,-4330.468498182912,2081.0147509159324,-4671.471434051314
STARLINK-1262,45366,3916.733747974906,-2493.2649957469184,-5029.029596817779
STARLINK-1273,45367,1742.191839008806,3829.1037496346307,5291.398763164712
STARLINK-1277,45369,1093.6266558230022,3909.9287834051006,5378.528426055076
STARLINK-1281,45370,3467.8172298883915,-2815.114305904606,-5182.852761938694
STARLINK-1300,45374,-563.9266870626153,-4394.476748309614,-5209.910107697914
STARLINK-1302,45375,2570.351571647992,-4330.36220683192,-4490.645577945332
STARLINK-1304,45376,5563.604705767538,1290.1596918165728,3588.8443738527994
STARLINK-1305,45377,-1371.497084164989,5074.257599924166,4190.8112112128865
STARLINK-1319,45379,4385.593679292974,-5066.463075567807,-332.15496170104535
STARLINK-1266,45383,892.5904226790026,4097.430419185845,5273.634980704976
STARLINK-1267,45384,-4269.880133754952,-1417.39648368123,-5032.18578046849
STARLINK-1272,45386,4272.34650472913,363.0636112794709,5179.320541297054
STARLINK-1274,45387,-2825.0172598171816,6095.013168631611,629.6009070810607
STARLINK-1280,45388,-56.22452288108878,-5323.9709738134725,-4058.4953605368523
STARLINK-1283,45389,3242.3524819624668,2499.4798190457527,5328.798306417457
STARLINK-1284,45390,-4464.462936313505,-1199.266298220827,-4901.880714880455
STARLINK-1297,45395,5326.22884319208,-320.15250042078185,4101.154873392961
STARLINK-1307,45397,5097.85221052868,762.277646140991,4384.543240712488
STARLINK-1255,45399,4268.887566702939,183.14560331787715,5209.616952121491
STARLINK-1260,45404,-3467.997394651836,-2958.1916288034927,-5087.168736699658
STARLINK-1263,45405,-5741.856984984758,-1205.1063992499344,-3509.8794302010156
STARLINK-1265,45406,3554.1018301708505,-4214.717252553245,-4032.827660346058
STARLINK-1278,45408,2437.744285222509,-5336.495613068648,-3319.0779842565817
STARLINK-1296,45412,-542.7692742476664,4294.916127958,5262.52561672585
STARLINK-1309,45414,-1803.6015406679628,5538.418728827506,3372.0280607333602
STARLINK-1316,45415,1752.941797830146,-4399.792029719337,-4921.706802960636
STARLINK-1286,45417,-2322.9085186697394,-3341.055292698389,-5388.073478103585
STARLINK-1308,45419,-5620.594902956169,-1259.4961122316863,-3519.9519254494035
STARLINK-1329,45531,3222.907746102717,-3859.113414395013,4453.063835075488
STARLINK-1338,45532,-4080.463489595571,0.3922251768988386,-5368.852023104675
STARLINK-1350,45535,4611.534440929974,3820.0670137300035,3272.9376963911714
STARLINK-1362,45538,3354.335178112378,-5549.838341485779,-2140.8485155217145
STARLINK-1368,45540,-3450.830310907415,-2330.4297138261527,-5414.487632884819
STARLINK-1371,45542,2532.290406021934,4136.797282197319,4685.302317679027
STARLINK-1372,45543,-3953.38869709185,5383.2285857023335,1394.8244042283718
STARLINK-1373,45544,-3199.308006380999,-3296.160383530475,-4929.3251209565815
STARLINK-1327,45555,-2637.4112644609772,4183.915954519497,-4587.5781926226955
STARLINK-1356,45564,-1552.289968059897,-6185.82911742325,-2207.3687822179036
STARLINK-1357,45565,2644.712571916956,-3097.194122043646,5352.151094659832
STARLINK-1361,45567,-4050.558509046007,690.6924505829519,-5357.242237178654
STARLINK-1376,45570,-772.2609427684392,-5669.1373991340615,-3728.7649677731806
STARLINK-1320,45572,-6496.099433704185,1250.3199333579953,841.7958587739708
STARLINK-1321,45573,-2261.8816039644175,4453.774244966583,-4545.365758453032
STARLINK-1331,45578,4053.962614666233,-413.1726343443069,5372.139745675252
STARLINK-1333,45580,-4479.463719454922,3905.6372957034755,-3378.043761263713
STARLINK-1335,45581,-1093.482494784269,6541.233027039897,1613.0998336745756
STARLINK-1337,45582,3440.7223683308516,5569.505152561652,1489.914164649799
STARLINK-1347,45586,5370.469118834672,4047.9483548379435,381.09180506053565
STARLINK-1364,45589,1475.6700516172327,6569.302939851981,-188.89105905065594
STARLINK-1365,45590,-2638.487738168928,-3674.7632138088584,-5032.6422846787045
STARLINK-1443,45660,4220.48573583424,-2582.5127696795385,4715.86966915255
STARLINK-1446,45663,-6238.451306935528,-497.5879721111597,-2662.8212275419587
STARLINK-1448,45665,-4663.905412677435,-3292.17557750263,-3587.421226338974
STARLINK-1451,45668,3487.757073775837,2305.9349527032155,5478.109317194459
STARLINK-1452,45669,231.36386154583084,-4632.555566067135,4904.757508114772
STARLINK-1453,45670,5939.585854949078,3119.7022253858377,-615.8540819982071
STARLINK-1454,45671,2378.812963419368,6276.796225126053,-649.5112718068572
STARLINK-1456,45673,-4539.271722235896,-300.39395592948205,-4984.998739782096
STARLINK-1458,45675,-366.44555905132944,-6534.059478204687,1704.248693021039
STARLINK-1460,45676,-200.4059397315297,-6567.95468777707,-1886.3098051905697
STARLINK-1392,45677,3857.629590630927,1607.9853100427863,5386.445928422839
STARLINK-1394,45679,-1476.1858337629578,4206.340905060987,-5067.159105630368
STARLINK-1402,45685,5196.315662994803,270.7615639668503,4316.4658832845325
STARLINK-1404,45686,428.1753047771667,6713.940130486311,-1029.585085620015
STARLINK-1413,45689,3801.3656484183252,3201.9371225268724,4683.836517621971
STARLINK-1417,45693,4149.934671743806,413.5463172454148,5477.528328993945
STARLINK-1420,45695,-5139.158472564243,-4235.859734711293,1021.2240424351379
STARLINK-1422,45696,4128.639331710819,937.1325128660925,5357.390431168594
STARLINK-1351,45697,5365.646971324936,-135.00048075855327,4072.6449313773887
STARLINK-1400,45700,-5827.470081337132,-1339.4338986284138,-3133.2856665897552
STARLINK-1403,45701,-3943.0511895034183,-4560.236674879965,-3230.8935599991128
STARLINK-1407,45703,896.118604547357,4229.665505283941,-5152.9538493518985
STARLINK-1411,45706,2140.1934960148787,3418.8476727173443,-5259.05767845397
STARLINK-1423,45710,-1666.4648907491237,3732.456152223398,-5359.869957343988
STARLINK-1433,45711,-5555.162671800347,45.29377124333035,-3820.179399116439
STARLINK-1434,45712,5117.375223254812,1981.4509373001106,4066.961399926464
STARLINK-1465,45731,-1467.653506602896,-5975.456058744939,-2750.994548885122
STARLINK-1471,45735,5551.043888573357,1118.2234264061633,3726.6232207324315
STARLINK-1480,45741,-3738.537146827478,1734.9447537520862,5326.043261571471
STARLINK-1500,45744,-2871.2813172041783,2915.768667357456,5452.192240649059
STARLINK-1504,45746,4958.863410297721,-3965.8622260950347,-2348.1225433993836
STARLINK-1506,45747,3785.034383105484,-1637.8603491055003,-5482.962436772467
STARLINK-1464,45751,4486.82438354427,-822.6994168136486,-5026.504173620632
STARLINK-1477,45754,4013.227567357489,3471.943416124575,-4393.034155933304
STARLINK-1478,45755,-29.103950445560375,4353.604361372368,5129.275187516665
STARLINK-1493,45759,-960.2123397308143,4195.537335586989,5180.82123900138
STARLINK-1502,45764,5628.645459988941,3207.0563651185216,-1907.402152723803
STARLINK-1470,45772,5183.667974060358,-894.9219095319668,-4372.182171078899
STARLINK-1482,45773,-81.63208904985902,4916.552861595403,4721.783025071319
STARLINK-1496,45780,-6611.206134805476,-1270.6779037360213,199.72300369152475
STARLINK-1513,45786,-1263.5185835290465,4333.0678390215935,5141.6888795970945
STARLINK-1522,46027,6364.097189109001,1396.9914638543696,2271.0449708663773
STARLINK-1523,46028,3131.4223071220795,-4275.416945137647,-4345.288789194103
STARLINK-1526,46029,5990.319602995291,-2924.1241368904534,-1577.3186307515523
STARLINK-1555,46032,6690.381647557704,-1266.1698109025551,784.4273999124267
STARLINK-1556,46033,-5379.056960127166,3439.6290093642074,2461.7769533164483
STARLINK-1557,46034,1700.5702347528388,3774.7457253500343,5451.792965137334
STARLINK-1558,46035,5490.297818028691,1446.9862710338577,3830.298478717384
STARLINK-1560,46036,-2329.9206670327567,4352.378310355526,4743.969747489268
STARLINK-1569,46039,5244.532238025485,1692.391939566803,4061.736497384831
STARLINK-1582,46043,6281.663513379107,264.880363431999,2709.3967404301834
STARLINK-1591,46045,-5813.833787082916,-1073.4407315911433,-3470.7437709954615
STARLINK-1524,46047,-6309.494937949779,1968.841735917136,-1804.241391921018
STARLINK-1527,46048,-5678.780866531294,-128.4215200476531,-3833.9693548483574
STARLINK-1540,46051,1410.12643562423,-4803.852963455706,-4681.028518064183
STARLINK-1541,46052,-4932.452082235315,4094.6853771270407,-1882.9844153051442
STARLINK-1543,46053,1592.0611217197068,3808.0338863448105,5455.5728230490095
STARLINK-1548,46054,6308.8215474236695,-2012.2934272714467,1743.3346126762403
STARLINK-1554,46055,-1528.742500777729,4820.3157340401885,4608.969566498681
STARLINK-1564,46058,2822.893017299809,3103.3045146962645,5409.471707201783
STARLINK-1570,46059,4018.760105217,-4740.9572790251195,-2886.591289312185
STARLINK-1572,46060,-6235.860072792506,2758.950406432222,-697.136724778261
STARLINK-1573,46061,5701.878128989074,62.866010796356626,3785.8580656897852
STARLINK-1577,46063,-3875.2510434541637,-2282.8261586345457,-5171.909725980822
STARLINK-1583,46064,-5754.043008761304,3667.051415288307,584.9918440111796
STARLINK-1536,46070,-4359.287750505999,5125.350190294894,1271.3004865270163
STARLINK-1542,46073,5900.214168759831,-1892.2891685106679,2910.1408713436813
STARLINK-1549,46074,-3006.2957423387084,5471.830993723633,2812.67561857127
STARLINK-1551,46075,-5763.454640848418,1905.3186610822208,-3179.854483715405
STARLINK-1552,46076,-521.7788551216586,-4622.189213796973,-5034.067702076259
STARLINK-1559,46077,4290.5317170027,-426.70513600423914,5279.932641861283
STARLINK-1566,46079,-3030.3394247306187,-2808.5123490105457,-5469.045958204405
STARLINK-1568,46080,-3304.9423198295713,2410.849295692501,-5412.863292502545
STARLINK-1578,46082,-4744.890635313452,-714.7267238643833,-4893.8461460238295
STARLINK-1579,46083,2099.1866943734385,-5478.647858477425,-3541.8255123173853
